ID	Quanto tempo de experiência na área de dados você tem?	Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?	Você está satisfeito na sua empresa atual?	Qual o principal motivo da sua insatisfação com a empresa atual?	Você participou de entrevistas de emprego nos últimos 6 meses?	Você pretende mudar de emprego nos próximos 6 meses?	Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?	Atualmente qual a sua forma de trabalho?	Qual a forma de trabalho ideal para você?	Caso sua empresa decida pelo modelo 100% presencial qual será sua atitude?	Sua empresa passu por Layoff em 2022?	Atuacao	Quais das linguagens listadas abaixo você utiliza no trabalho?
ltqw1mj554d7025h4huvltqwincf22ob	de 4 a 6 anos	Menos de 1 ano	FALSE	Gostaria de receber mais benefícios	Sim, fiz entrevistas mas não fui aprovado	Estou em busca de oportunidades, mas apenas fora do Brasil	Remuneração/Salário, Reputação que a empresa tem no mercado, Oportunidade de aprendizado e trabalhar com referências na área	Modelo 100% remoto	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Sim, ocorreram layoffs/demissões em massa na empresa em que trabalhava e eu fui afetado	Gestor	
ltiwgz0dng99g1qhzkdhirltiwnz9eoe	Mais de 10 anos	Mais de 10 anos	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Qualidade dos gestores e líderes	Modelo híbrido com dias fixos de trabalho presencial	Modelo híbrido com dias fixos de trabalho presencial	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Gestor	
ltgy92gh5nucisoz4q0wltgy9w7rgzbg	Não tenho experiência na área de dados	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Flexibilidade de trabalho remoto, Benefícios, Remuneração/Salário	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL
lt9r855yrtq2hmsjqg3w0vm0zelt9r85	de 3 a 4 anos	de 3 a 4 anos	TRUE		Sim, fui aprovado mas decidi não mudar de emprego	Não estou buscando, mas me considero aberto a outras oportunidades	Maturidade da empresa em termos de tecnologia e dados, Ambiente e clima de trabalho, Flexibilidade de trabalho remoto	Modelo 100% presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL, R, Python, Visual Basic/VBA
lt714dqy0mbqvslf4p1lt714dq9ktmpf	Mais de 10 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	FALSE	Salário atual não corresponde ao mercado, Falta de oportunidade de crescimento no emprego atual, Falta de maturidade analítica na empresa	Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Reputação que a empresa tem no mercado, Ambiente e clima de trabalho	Modelo híbrido com dias fixos de trabalho presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	R
lt32h6m91qteakx3vu6f5flt32h6ysrh	de 4 a 6 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Sim, fui aprovado e mudei de emprego	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Sim, ocorreram layoffs/demissões em massa na empresa em que trabalhava e eu fui afetado	Engenharia de Dados	SQL
lsuez8nmgejbxnrpm2m6lsuez8fx9uix	de 1 a 2 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Sim, fui aprovado e mudei de emprego	Não estou buscando, mas me considero aberto a outras oportunidades	Flexibilidade de trabalho remoto	Modelo híbrido com dias fixos de trabalho presencial	Modelo 100% remoto	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	Visual Basic/VBA
lsjbu0rxyfplsjbfcq2gqykazvdxsfl9	de 4 a 6 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Estou em busca de oportunidades, mas apenas fora do Brasil	Remuneração/Salário, Flexibilidade de trabalho remoto, Propósito do trabalho e da empresa	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	 desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.	0
lrm57gbjtl854e4q9pn76lrm57gb32je	Mais de 10 anos	Mais de 10 anos	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Plano de carreira e oportunidades de crescimento profissional, Flexibilidade de trabalho remoto, Reputação que a empresa tem no mercado	Modelo híbrido com dias fixos de trabalho presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Engenharia de Dados	SQL, Python, .NET
lqv2sxmc603v3vi0jlq20j0ei9496073	de 1 a 2 anos	Menos de 1 ano	FALSE	Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado, Gostaria de receber mais benefícios	Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Estou em busca de oportunidades dentro ou fora do Brasil	Flexibilidade de trabalho remoto, Remuneração/Salário, Benefícios	Modelo 100% presencial	Modelo híbrido com dias fixos de trabalho presencial	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Outra atuação	Não utilizo nenhuma das linguagens listadas
lqur4o9z1ksc8tlulqur4opa7dnqr5ui												Buscando oportunidade na área de dados	
lporf9dh5nr7p3g6zlpor6y7263qgb41	de 3 a 4 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Sim, fui aprovado mas decidi não mudar de emprego	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Remuneração/Salário, Benefícios, Oportunidade de aprendizado e trabalhar com referências na área	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	 desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.	0
lplv971j2772u2mnlplv9jotjcwsbt8q	Menos de 1 ano	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Sim, fui aprovado e mudei de emprego	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL, Python, Scala, SAS/Stata, R
lplhb6zbyts3d3c00h1lplhb6zfq94tc	de 1 a 2 anos	de 3 a 4 anos	FALSE	Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado, Falta de maturidade analítica na empresa	Sim, fiz entrevistas mas não fui aprovado	Estou em busca de oportunidades dentro ou fora do Brasil	Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional	Modelo 100% presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL
lpl28520h2tagdm4sduklpl23nbhrj8l	Menos de 1 ano	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	FALSE	Gostaria de trabalhar em em outra área de atuação	Sim, fiz entrevistas mas não fui aprovado	Estou em busca de oportunidades dentro ou fora do Brasil	Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	Python, SQL
lpczup39hy4u3mc68mllpczu3o2xhw15	Mais de 10 anos	Menos de 1 ano	FALSE	Salário atual não corresponde ao mercado, Falta de maturidade analítica na empresa	Sim, fiz entrevistas mas não fui aprovado	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	R, SQL
lp8wm1njqhozcgf854nr89ilp8w6rb9k	de 3 a 4 anos	Menos de 1 ano	TRUE		Sim, fui aprovado e mudei de emprego	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Remuneração/Salário, Propósito do trabalho e da empresa, Oportunidade de aprendizado e trabalhar com referências na área	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido com dias fixos de trabalho presencial	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Outra atuação	Java, Python
lp5kavm1inpoatl63lp5kj7qfmvc9aqa	de 1 a 2 anos	Menos de 1 ano	FALSE	Salário atual não corresponde ao mercado	Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário, Qualidade dos gestores e líderes	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	R, SQL
loqx9wqasv3a6pqlmloqxl3ubwjp1h2f	Menos de 1 ano	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Sim, fiz entrevistas mas não fui aprovado	Estou em busca de oportunidades, mas apenas fora do Brasil	Remuneração/Salário, Ambiente e clima de trabalho, Maturidade da empresa em termos de tecnologia e dados	Modelo 100% presencial	Modelo híbrido com dias fixos de trabalho presencial	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	Python, SQL
lon3cbabqxsfdipw9plon3c9ppw1805p	Menos de 1 ano	Menos de 1 ano	FALSE	Falta de maturidade analítica na empresa	Sim, fiz entrevistas mas não fui aprovado	Estou em busca de oportunidades dentro ou fora do Brasil	Benefícios, Maturidade da empresa em termos de tecnologia e dados, Plano de carreira e oportunidades de crescimento profissional	Modelo 100% presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	Visual Basic/VBA
lolcvck57fhvaa52qlpy1lolcvck6kjn	de 1 a 2 anos	de 1 a 2 anos	TRUE		Sim, fiz entrevistas mas não fui aprovado	Não estou buscando, mas me considero aberto a outras oportunidades	Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário, Ambiente e clima de trabalho	Modelo 100% remoto	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL, Python
loidslak3l6ogyuloidsla0mybuhvff5	Não tenho experiência na área de dados	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	FALSE	Gostaria de trabalhar em em outra área de atuação	Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Estou em busca de oportunidades dentro ou fora do Brasil	Flexibilidade de trabalho remoto	Modelo 100% presencial	Modelo 100% remoto	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Outra atuação	Não utilizo nenhuma das linguagens listadas
logfq9mgxrky9bvilogfz15hon1niypu	Menos de 1 ano	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Sim, fui aprovado e mudei de emprego	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Ambiente e clima de trabalho	Modelo híbrido com dias fixos de trabalho presencial	Modelo híbrido com dias fixos de trabalho presencial	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL
lo347qsagnkewn79lo347q1g5976jqu2	Menos de 1 ano	Menos de 1 ano	FALSE	Falta de maturidade analítica na empresa	Sim, fui aprovado mas decidi não mudar de emprego	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área	Modelo 100% remoto	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado	Análise de Dados	SQL, Python, Visual Basic/VBA, Matlab
lnqsvwx1ybt3se3ijb3xalnqsvwx1x3p	de 3 a 4 anos	de 1 a 2 anos	TRUE		Sim, fui aprovado mas decidi não mudar de emprego	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Benefícios, Plano de carreira e oportunidades de crescimento profissional	Modelo 100% presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL, PHP, Python, Julia
lnqdwjn3ssz7dfpozlnqdwryssvcga2d	de 3 a 4 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	FALSE	Falta de oportunidade de crescimento no emprego atual, Gostaria de trabalhar em em outra área de atuação, Salário atual não corresponde ao mercado	Sim, fiz entrevistas mas não fui aprovado	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Ambiente e clima de trabalho, Oportunidade de aprendizado e trabalhar com referências na área	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado	Análise de Dados	SQL
lnns5oe16j63erw4qnlnn7k6l5d4qojr	de 4 a 6 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	FALSE	Falta de oportunidade de crescimento no emprego atual	Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho	Modelo 100% presencial	Modelo 100% remoto	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Outra atuação	Não utilizo nenhuma das linguagens listadas
lnhi3xuvdfxuw0lnhmj9f4j7z2mn0d9o	de 1 a 2 anos	de 1 a 2 anos	TRUE		Sim, fui aprovado mas decidi não mudar de emprego	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL, Python, SAS/Stata
lnfqi5h65itjspk587lnfqimtjuprgdy	Mais de 10 anos	de 3 a 4 anos	TRUE		Sim, fiz entrevistas mas não fui aprovado	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Gestor	
ln70v00o7i8jocn2wrtnln70v0tqogqp	de 4 a 6 anos	de 5 a 6 anos	FALSE	O clima de trabalho/ambiente não é bom, Falta de maturidade analítica na empresa	Sim, fiz entrevistas mas não fui aprovado	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Benefícios, Plano de carreira e oportunidades de crescimento profissional	Modelo 100% presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado	Gestor	
ln6m1of0vjnmgk2ln6m1bc3dmq79v43f	Menos de 1 ano	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	FALSE	Gostaria de trabalhar em em outra área de atuação	Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Estou em busca de oportunidades dentro ou fora do Brasil	Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área, Propósito do trabalho e da empresa	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Outra atuação	Não utilizo nenhuma das linguagens listadas
lmtj51zm756noqwet1vf8lmtj51kcwwh	de 1 a 2 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	FALSE	Gostaria de trabalhar em em outra área de atuação	Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área	Modelo híbrido com dias fixos de trabalho presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Outra atuação	Não utilizo nenhuma das linguagens listadas
lmrtiuqww57pa8t02lmr0e8oi0xbjpsx	de 4 a 6 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Sim, fiz entrevistas mas não fui aprovado	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Gestor	
lmnbtobgyhwgm6uvvhyblmnbto3z0c7j	de 4 a 6 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Ambiente e clima de trabalho, Oportunidade de aprendizado e trabalhar com referências na área, Flexibilidade de trabalho remoto	Modelo 100% remoto	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	 desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.	0
lml4yygvma2kuphronlml4ycm9q0rf5i	de 3 a 4 anos	Menos de 1 ano	FALSE	Salário atual não corresponde ao mercado	Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Estou em busca de oportunidades, mas apenas fora do Brasil	Remuneração/Salário, Flexibilidade de trabalho remoto, Reputação que a empresa tem no mercado	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Engenharia de Dados	SQL, Python
lm7xre2ttmn7azlfe6lm7xrv29xs2g10	de 1 a 2 anos	Menos de 1 ano	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Flexibilidade de trabalho remoto, Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL, Visual Basic/VBA, Python
lm0ezxxtduligtpobyl8sylm0ezxd93a	de 1 a 2 anos	de 1 a 2 anos	TRUE		Sim, fui aprovado e mudei de emprego	Estou em busca de oportunidades dentro ou fora do Brasil	Oportunidade de aprendizado e trabalhar com referências na área, Remuneração/Salário, Ambiente e clima de trabalho	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Outra atuação	Java, JavaScript
lll7otg76vb82umosnsglll7ookw53b6	de 1 a 2 anos	Menos de 1 ano	TRUE		Sim, fui aprovado mas decidi não mudar de emprego	Não estou buscando, mas me considero aberto a outras oportunidades	Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário, Ambiente e clima de trabalho	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Outra atuação	Não utilizo nenhuma das linguagens listadas
ll7ni0vvcy3ufjsq7psll7ni0qh6o8wu												Buscando oportunidade na área de dados	
lkk29ggc3h3i3g8i3lsilkk29ggg3blt												Outra atuação	
lkezdaz287k0b1hwllkezda8xi6ev9ya	Menos de 1 ano	de 5 a 6 anos	FALSE	Salário atual não corresponde ao mercado, Falta de oportunidade de crescimento no emprego atual	Sim, fiz entrevistas mas não fui aprovado	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Engenharia de Dados	SQL, Python, JavaScript
lkc1grux2fk9yw98lkc1gpel0lf0vru9	de 1 a 2 anos	de 1 a 2 anos	FALSE	Falta de maturidade analítica na empresa, Salário atual não corresponde ao mercado, Gostaria de receber mais benefícios	Sim, fiz entrevistas mas não fui aprovado	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado	Engenharia de Dados	Python, SQL
ljyaaxu8e0ue4aitljyaa2elkzcvqzif	de 3 a 4 anos	de 1 a 2 anos	TRUE		Sim, fui aprovado e mudei de emprego	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Qualidade dos gestores e líderes	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	 desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.	0
lildr3ftimp3cyzc2u1rylildr8ug282	de 1 a 2 anos	Menos de 1 ano	FALSE	Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado, Falta de maturidade analítica na empresa	Sim, fiz entrevistas mas não fui aprovado	Estou em busca de oportunidades, mas apenas fora do Brasil	Flexibilidade de trabalho remoto, Remuneração/Salário, Ambiente e clima de trabalho	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	 desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.	0
ligm1e2avvfnk6yb1srpbmgjsligm1e1	de 4 a 6 anos	de 3 a 4 anos	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Propósito do trabalho e da empresa, Ambiente e clima de trabalho, Oportunidade de aprendizado e trabalhar com referências na área	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo 100% presencial	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Gestor	
lhzragphfmnc0pppfli3as5lhzragpgw	Menos de 1 ano	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Flexibilidade de trabalho remoto	Modelo híbrido com dias fixos de trabalho presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL
lhx7a8ozva81hum1nzkclhx7a8on3xhd	Não tenho experiência na área de dados	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Flexibilidade de trabalho remoto, Remuneração/Salário, Benefícios	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL, Python, Visual Basic/VBA
